Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Note
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","1987","1987","1000 persons","1672.403",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","1987","1987","1000 persons","1718.467",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","1988","1988","1000 persons","1704.391",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","1988","1988","1000 persons","1752.756",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","1989","1989","1000 persons","1736.409",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","1989","1989","1000 persons","1789.092",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","1990","1990","1000 persons","1767.344",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","1990","1990","1000 persons","1826.355",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","1991","1991","1000 persons","1802.859",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","1991","1991","1000 persons","1863.876",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","1992","1992","1000 persons","1843.294",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","1992","1992","1000 persons","1902.112",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","1993","1993","1000 persons","1881.024",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","1993","1993","1000 persons","1937.773",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","1994","1994","1000 persons","1916.664",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","1994","1994","1000 persons","1971.48",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","1995","1995","1000 persons","1953.426",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","1995","1995","1000 persons","2006.214",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","1996","1996","1000 persons","1991.727",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","1996","1996","1000 persons","2042.515",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","1997","1997","1000 persons","2029.194",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","1997","1997","1000 persons","2078.357",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","1998","1998","1000 persons","2065.497",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","1998","1998","1000 persons","2113.287",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","1999","1999","1000 persons","2101.776",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","1999","1999","1000 persons","2148.244",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","2000","2000","1000 persons","2137.718",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","2000","2000","1000 persons","2182.925",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","2001","2001","1000 persons","2172.579",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","2001","2001","1000 persons","2216.621",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","2002","2002","1000 persons","2201.78",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","2002","2002","1000 persons","2244.887",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","2003","2003","1000 persons","2231.267",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","2003","2003","1000 persons","2273.541",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","2004","2004","1000 persons","2266.637",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","2004","2004","1000 persons","2308.16",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","2005","2005","1000 persons","2301.063",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","2005","2005","1000 persons","2341.982",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","2006","2006","1000 persons","2339.292",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","2006","2006","1000 persons","2380.573",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","2007","2007","1000 persons","2383.768",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","2007","2007","1000 persons","2425.84",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","2008","2008","1000 persons","2422.82",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","2008","2008","1000 persons","2464.793",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","2009","2009","1000 persons","2454.921",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","2009","2009","1000 persons","2496.213",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","2010","2010","1000 persons","2477.872",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","2010","2010","1000 persons","2517.928",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","2011","2011","1000 persons","2503.286",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","2011","2011","1000 persons","2541.771",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","2012","2012","1000 persons","2570.541",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","2012","2012","1000 persons","2607.796",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","2013","2013","1000 persons","2820.251",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","2013","2013","1000 persons","2858.601",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","2014","2014","1000 persons","3117.336",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","2014","2014","1000 persons","3157.007",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","2015","2015","1000 persons","3173.713",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","2015","2015","1000 persons","3225.226",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","3091.255",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","3167.365",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","3003.848",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","3105.403",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","2911.667",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","3039.172",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 persons","2814.124",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 persons","2967.783",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","2748.285",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","2914.639",""
"OA","Annual population","422","Lebanon","512","Total Population - Male","3010","Population - Est. & Proj.","2021","2021","1000 persons","2713.49",""
"OA","Annual population","422","Lebanon","513","Total Population - Female","3010","Population - Est. & Proj.","2021","2021","1000 persons","2879.14",""
